id,Class
219129,0.4226516657143839
219130,0.18999495850201345
219131,0.13349292752994452
219132,0.44650719308925224
219133,0.21306765285435267
219134,0.27888856247450167
219135,0.18221462999712348
219136,0.5341485800441145
219137,0.2355850573202574
219138,0.4593964004998522
219139,0.28406274021244027
219140,0.1031767494637029
219141,0.5523383416199051
219142,0.12594160247222752
219143,0.10476175456884275
219144,0.5232479912971664
219145,0.997153612107648
219146,0.18823219989975964
219147,0.5148375582704819
219148,0.5281296288378475
219149,0.1720285216322976
219150,0.7536346933747976
219151,0.19019153398619662
219152,0.7416518207365735
219153,0.6718435079555484
219154,0.21846797097816023
219155,0.05702596761656732
219156,0.349386517214267
219157,0.25531448772754145
219158,0.2852890822414539
219159,0.8162679730930467
219160,0.43664050316684727
219161,0.12453759428278041
219162,0.7252756172325657
219163,0.2523666720308302
219164,0.3734155833201254
219165,0.12699037293455942
219166,0.2056868204259983
219167,0.09865333042079992
219168,0.5010058086487731
219169,0.4575520357996793
219170,0.18207074866087455
219171,0.37606111476844656
219172,0.32874882352882734
219173,0.18621189381022465
219174,0.3856024618247417
219175,0.19941912712922805
219176,0.6779701867741168
219177,0.14568225830740547
219178,0.5513341355733712
219179,0.41108422213043916
219180,0.5986834328649806
219181,0.14514662127409095
219182,0.3126783505463032
219183,0.2723445422317375
219184,0.3780582937813774
219185,0.22426880599820528
219186,0.09956977456032906
219187,0.1583188170980605
219188,0.39777100786961084
219189,0.13350389894314968
219190,0.9117327013471105
219191,0.2686722929429699
219192,0.36408484835367233
219193,0.13900571086610794
219194,0.15831559032104925
219195,0.29869653181769557
219196,0.3293281386512611
219197,0.09732877047068962
219198,0.5519817135977806
219199,0.43220151296275827
219200,0.16805364395531108
219201,0.5800681105436134
219202,0.5122337572358057
219203,0.7484210736273608
219204,0.4634848763524011
219205,0.12948618320848065
219206,0.16490654721766132
219207,0.4543567501731127
219208,0.6046295494768772
219209,0.09589367078334791
219210,0.1201149216580584
219211,0.3411391469570335
219212,0.28577926655421776
219213,0.43940111629733153
219214,0.06782466373463632
219215,0.2791396018828486
219216,0.7232077670446632
219217,0.28233758800001657
219218,0.31848248873611473
219219,0.6415806043257669
219220,0.5214309933058842
219221,0.2221767101706768
219222,0.19088625314458016
219223,0.12123848172096921
219224,0.5774098726433513
219225,0.26431275029815615
219226,0.10865361001098055
219227,0.29518815362741546
219228,0.08428115403263846
219229,0.0459402073494431
219230,0.12918586208046215
219231,0.0853647890631044
219232,0.14700094653999338
219233,0.19994700392234532
219234,0.08940862790212215
219235,0.6228271609416252
219236,0.1289335437312656
219237,0.5484562324026873
219238,0.33231503248877414
219239,0.6048252615459914
219240,0.232307960913127
219241,0.09723673342592894
219242,0.2254110688855227
219243,0.05928072415112968
